anio_mes,proyecto,recurrente,total_ingresos,Estructura,Marketing,Operaciones,Personal,Tecnologia,Tributario,Viajes y Ferias,total_gastos,saldo_cierre_mes,ipc_interanual_pct,euribor_12m_pct,factor_estacional,cash_flow_neto,ratio_cobertura,variacion_saldo
2023-01,0.0,65485.2,65485.2,15500.1,0.0,0.0,172740.0,5892.7,0.0,0.0,194132.80000000002,329978.38,5.8,3.35,1.1,-128647.60000000002,33.7,0.0
2023-02,0.0,64033.2,64033.2,19650.4,0.0,0.0,191260.0,5154.6,0.0,0.0,216065.0,189659.38,6.0,3.55,0.95,-152031.8,29.6,-140319.0
2023-03,49779.4,84119.2,133898.6,14858.8,0.0,0.0,183900.0,6703.4,0.0,22167.2,227629.4,59797.98,5.5,3.7,1.15,-93730.79999999999,58.8,-129861.4
2023-04,13769.8,120721.7,134491.5,13939.199999999999,14157.0,0.0,188840.0,7175.3,48520.0,0.0,272631.5,-93440.22,4.8,3.85,1.2,-138140.0,49.3,-153238.2
2023-05,38635.3,136185.5,174820.8,17738.6,0.0,0.0,179300.0,6134.7,0.0,0.0,203173.30000000002,13970.98,4.2,3.9,1.05,-28352.50000000003,86.0,107411.2
2023-06,3642.1,154517.0,158159.1,14544.2,0.0,0.0,191700.0,7139.0,0.0,7477.8,220861.0,-54018.62,3.8,4.0,1.0,-62701.899999999994,71.6,-67989.6
2023-07,9655.8,139065.3,148721.09999999998,15306.5,0.0,0.0,191610.0,7175.3,40420.0,0.0,254511.8,122232.38,3.5,4.05,0.9,-105790.70000000001,58.4,176251.0
2023-08,12233.1,92710.2,104943.3,16710.1,0.0,0.0,172930.0,6328.3,0.0,4101.9,200070.3,39005.78,3.6,4.1,0.5,-95126.99999999999,52.5,-83226.6
2023-09,16661.699999999997,183012.5,199674.2,15367.0,689.7,0.0,186420.0,5578.1,0.0,0.0,208054.80000000002,-66211.12,3.8,4.15,1.15,-8380.600000000006,96.0,-105216.9
2023-10,49343.8,196988.0,246331.8,15246.0,0.0,0.0,192060.0,5445.0,60200.0,21671.100000000002,294622.1,22983.48,3.5,4.05,1.2,-48290.29999999999,83.6,89194.59999999999
2023-11,0.0,196988.0,196988.0,14338.5,0.0,0.0,185310.0,4961.0,0.0,0.0,204609.5,20184.98,3.2,4.0,1.0,-7621.5,96.3,-2798.5
2023-12,20812.0,142296.0,163108.0,16806.899999999998,3049.2,0.0,178230.0,6521.9,10580.0,0.0,215188.0,8785.18,3.0,3.85,0.7,-52080.0,75.8,-11399.8
2024-01,0.0,223608.0,223608.0,15415.4,0.0,0.0,194020.0,7465.7,0.0,0.0,216901.1,-49763.22,3.4,3.7,1.1,6706.899999999994,103.1,-58548.4
2024-02,0.0,192208.5,192208.5,16927.9,0.0,0.0,176920.0,5553.9,0.0,0.0,199401.8,-40585.22,3.6,3.65,0.95,-7193.299999999988,96.4,9178.0
2024-03,22130.9,232525.7,254656.6,17290.9,5396.6,0.0,182870.0,7429.4,0.0,0.0,212986.9,-49699.22,3.3,3.75,1.15,41669.70000000001,119.6,-9114.0
2024-04,38381.2,245170.2,283551.4,15911.5,14483.699999999999,0.0,190720.0,5602.3,45440.0,0.0,272157.5,-73601.02,3.0,3.8,1.2,11393.900000000023,104.2,-23901.800000000003
2024-05,15149.2,253337.7,268486.9,15112.900000000001,0.0,0.0,175620.0,6921.2,0.0,0.0,197654.1,-30874.52,3.2,3.7,1.05,70832.80000000002,135.8,42726.5
2024-06,25422.1,261602.0,287024.1,19783.5,0.0,0.0,182890.0,5275.6,0.0,0.0,207949.1,33353.78,3.5,3.6,1.0,79074.99999999997,138.0,64228.3
2024-07,27660.6,264300.3,291960.89999999997,17750.7,0.0,0.0,186540.0,7453.6,39430.0,0.0,251174.30000000002,61023.98,3.0,3.55,0.9,40786.59999999995,116.2,27670.200000000004
2024-08,64117.9,180919.2,245037.1,15875.2,0.0,0.0,185120.0,5711.2,0.0,0.0,206706.40000000002,136779.98,2.8,3.5,0.5,38330.69999999998,118.5,75756.0
2024-09,47141.6,343664.2,390805.8,14834.6,4525.4,0.0,189950.0,6751.8,0.0,0.0,216061.8,175205.38,2.6,3.45,1.15,174744.0,180.9,38425.399999999994
2024-10,13431.0,343664.2,357095.2,15367.0,11785.4,0.0,185490.0,7610.9,52850.0,0.0,273103.3,276488.18,2.8,3.3,1.2,83991.90000000002,130.8,101282.79999999999
2024-11,30649.300000000003,311212.0,341861.3,14072.3,0.0,0.0,186190.0,7671.4,0.0,0.0,207933.69999999998,406905.08,2.7,3.15,1.0,133927.6,164.4,130416.90000000002
2024-12,21308.1,232416.8,253724.9,14241.7,0.0,0.0,184520.0,6086.3,17180.0,4658.5,226686.5,518340.98,2.9,2.95,0.7,27038.399999999994,111.9,111435.89999999997
2025-01,28217.199999999997,365226.4,393443.60000000003,16093.0,0.0,0.0,172180.0,6655.0,0.0,5735.4,200663.4,564904.78,2.9,2.85,1.1,192780.20000000004,196.1,46563.80000000005
2025-02,40159.9,323469.3,363629.2,15863.099999999999,0.0,0.0,188300.0,5287.7,0.0,0.0,209450.80000000002,695076.78,2.7,2.75,0.95,154178.4,173.6,130172.0
2025-03,80840.1,351916.4,432756.5,14786.2,7707.7,0.0,170590.0,5614.4,0.0,0.0,198698.3,864424.18,2.5,2.7,1.15,234058.2,217.8,169347.40000000002
2025-04,49271.2,351916.4,401187.60000000003,14822.5,6897.0,0.0,194780.0,7175.3,37460.0,11095.7,272230.5,1098139.98,2.6,2.65,1.2,128957.10000000003,147.4,233715.79999999993
2025-05,2468.4,351166.2,353634.60000000003,15488.0,0.0,810.7,187000.0,7852.9,0.0,0.0,211151.6,1260817.88,2.8,2.6,1.05,142483.00000000003,167.5,162677.8999999999
2025-06,30625.100000000002,334444.0,365069.1,13685.1,0.0,0.0,174260.0,6848.6,0.0,0.0,194793.7,1434771.68,2.5,2.55,1.0,170275.39999999997,187.4,173953.80000000005
2025-07,42434.7,300999.6,343434.3,14350.6,0.0,0.0,183500.0,6679.2,48420.0,6195.2,259145.00000000003,1588873.78,2.3,2.5,0.9,84289.29999999996,132.5,154102.1000000001
2025-08,0.0,200666.4,200666.4,17157.8,0.0,0.0,177640.0,6582.4,0.0,0.0,201380.19999999998,1639286.68,2.4,2.55,0.5,-713.7999999999884,99.6,50412.89999999991
2025-09,35065.8,367888.4,402954.2,14979.8,0.0,0.0,191950.0,5082.0,0.0,0.0,212011.8,1673279.98,2.5,2.6,1.15,190942.40000000002,190.1,33993.30000000005
2025-10,32718.4,358305.2,391023.60000000003,14870.9,0.0,0.0,184380.0,7151.1,51140.0,21961.5,279503.5,1822612.58,2.6,2.55,1.2,111520.10000000003,139.9,149332.6000000001
2025-11,54171.7,325732.0,379903.7,18476.7,0.0,0.0,175400.0,5481.3,0.0,0.0,199358.0,1996781.58,2.5,2.5,1.0,180545.7,190.6,174169.0
2025-12,13068.0,228012.4,241080.4,16044.6,0.0,0.0,187290.0,6703.4,9950.0,0.0,219988.0,2129907.88,2.4,2.45,0.7,21092.399999999994,109.6,133126.2999999998
2026-01,36445.2,358305.2,394750.4,15028.2,0.0,0.0,180350.0,5239.3,0.0,5529.7,206147.2,2183051.58,2.5,2.4,1.1,188603.2,191.5,53143.700000000186
2026-02,26668.399999999998,309445.4,336113.80000000005,16165.6,0.0,0.0,193990.0,7453.6,0.0,0.0,217609.2,2335653.98,2.6,2.35,0.95,118504.60000000003,154.5,152602.3999999999
2026-03,22457.6,358305.2,380762.8,15972.0,7792.4,0.0,193880.0,5614.4,0.0,0.0,223258.8,2448750.98,2.4,2.3,1.15,157504.0,170.5,113097.0
2026-04,21731.600000000002,358305.2,380036.8,19856.1,0.0,0.0,181270.0,4985.2,60210.0,15427.5,281748.80000000005,2600096.78,2.3,2.25,1.2,98287.99999999994,134.9,151345.7999999998
