fecha,concepto,tipo,importe,saldo_acumulado
2023-01-05,Pago: Nominas,gasto,-172740.0,327260.0
2023-01-15,Ingresos varios del periodo,ingreso,2718.38,329978.38
2023-02-01,Cobro: Retainer January 2023 - CyberSecure Consulting,ingreso,14641.0,344619.38
2023-02-07,Pago: Material de oficina,gasto,-798.6,343820.78
2023-02-08,Cobro: Retainer January 2023 - DataSmart Systems SA,ingreso,13576.2,357396.98
2023-02-11,Pago: Software y SaaS,gasto,-5892.7,351504.28
2023-02-12,Cobro: Retainer January 2023 - InduSteel Components SA,ingreso,16637.5,368141.78
2023-02-15,Pago: Nominas,gasto,-191260.0,176881.78
2023-02-20,Cobro: Retainer January 2023 - AppDigital Labs,ingreso,7986.0,184867.78
2023-02-23,Pago: Alquiler oficina,gasto,-7852.9,177014.88
2023-02-23,Cobro: Retainer January 2023 - Nexus Software Group,ingreso,12644.5,189659.38
2023-03-04,Cobro: Retainer February 2023 - DataSmart Systems SA,ingreso,11724.9,201384.28
2023-03-05,Cobro: Retainer February 2023 - AppDigital Labs,ingreso,6897.0,208281.28
2023-03-07,Pago: Nominas,gasto,-183900.0,24381.28
2023-03-07,Cobro: Retainer February 2023 - Olivares del Mediterraneo,ingreso,7477.8,31859.08
2023-03-17,Cobro: Retainer February 2023 - CyberSecure Consulting,ingreso,12644.5,44503.58
2023-03-18,Cobro: Retainer February 2023 - InduSteel Components SA,ingreso,14374.8,58878.38
2023-03-19,Cobro: Retainer February 2023 - Nexus Software Group,ingreso,10914.2,69792.58
2023-03-21,Pago: Suministros,gasto,-1137.4,68655.18
2023-03-22,Pago: Servicios profesionales,gasto,-5154.6,63500.58
2023-03-27,Pago: Asesoria legal local,gasto,-3702.6,59797.98
2023-04-02,Cobro: Retainer March 2023 - AppDigital Labs,ingreso,7986.0,67783.98
2023-04-02,Cobro: Plan de Promocion Internacional - NexaTech Devices SL - Fact,ingreso,6025.8,73809.78
2023-04-04,Cobro: Retainer March 2023 - Embotellados del Norte SL,ingreso,9982.5,83792.28
2023-04-05,Pago: Asesoria legal local,gasto,-3702.6,80089.68
2023-04-06,Pago: Alquiler stands ferias,gasto,-7320.5,72769.18
2023-04-07,Pago: Alquiler oficina,gasto,-7514.1,65255.08
2023-04-07,Pago: Alquiler stands ferias,gasto,-14846.7,50408.38
2023-04-07,Cobro: Retainer March 2023 - Olivares del Mediterraneo,ingreso,8651.5,59059.88
2023-04-08,Pago: Nominas,gasto,-188840.0,-129780.12
2023-04-11,Cobro: Retainer March 2023 - CyberSecure Consulting,ingreso,14641.0,-115139.12
2023-04-11,Cobro: Retainer March 2023 - InduSteel Components SA,ingreso,16637.5,-98501.62
2023-04-12,Pago: Software y SaaS,gasto,-6703.4,-105205.02
