factura_id,cliente_id,cliente_nombre,sector,tipo_proyecto,fecha_factura,concepto,categoria,base_imponible,iva_21,total,pagado
FAC-0001,,,,,2023-01-04,Nominas,gasto_fijo,172740.0,0.0,172740.0,True
FAC-0002,,,,,2023-01-11,Seguros,gasto_fijo,1530.0,321.3,1851.3,True
FAC-0003,,,,,2023-01-12,Software y SaaS,gasto_fijo,4870.0,1022.7,5892.7,True
FAC-0004,,,,,2023-01-14,Alquiler oficina,gasto_fijo,6490.0,1362.9,7852.9,True
FAC-0005,,,,,2023-01-15,Material de oficina,gasto_fijo,660.0,138.6,798.6,True
FAC-0006,,,,,2023-01-22,Servicios profesionales,gasto_fijo,3030.0,636.3,3666.3,True
FAC-0007,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-01-25,Retainer January 2023 - InduSteel Components SA,ingreso,13750.0,2887.5,16637.5,True
FAC-0008,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-01-25,Retainer January 2023 - Nexus Software Group,ingreso,10450.0,2194.5,12644.5,True
FAC-0009,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-01-25,Retainer January 2023 - DataSmart Systems SA,ingreso,11220.0,2356.2,13576.2,True
FAC-0010,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-01-26,Retainer January 2023 - CyberSecure Consulting,ingreso,12100.0,2541.0,14641.0,True
FAC-0011,,,,,2023-01-27,Suministros,gasto_fijo,1100.0,231.0,1331.0,True
FAC-0012,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-01-27,Retainer January 2023 - AppDigital Labs,ingreso,6600.0,1386.0,7986.0,True
FAC-0013,,,,,2023-02-04,Nominas,gasto_fijo,191260.0,0.0,191260.0,True
FAC-0014,,,,,2023-02-14,Servicios profesionales,gasto_fijo,4260.0,894.6,5154.6,True
FAC-0015,,,,,2023-02-15,Seguros,gasto_fijo,1310.0,275.1,1585.1,True
FAC-0016,,,,,2023-02-19,Software y SaaS,gasto_fijo,4260.0,894.6,5154.6,True
FAC-0017,,,,,2023-02-19,Material de oficina,gasto_fijo,460.0,96.6,556.6,True
FAC-0018,,,,,2023-02-20,Suministros,gasto_fijo,940.0,197.4,1137.4,True
FAC-0019,,,,,2023-02-22,Asesoria legal local,gasto_variable,3060.0,642.6,3702.6,True
FAC-0020,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-02-25,Retainer February 2023 - CyberSecure Consulting,ingreso,10450.0,2194.5,12644.5,True
FAC-0021,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-02-25,Retainer February 2023 - Olivares del Mediterraneo,ingreso,6180.0,1297.8,7477.8,True
FAC-0022,,,,,2023-02-25,Alquiler oficina,gasto_fijo,6210.0,1304.1,7514.1,True
FAC-0023,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-02-25,Retainer February 2023 - DataSmart Systems SA,ingreso,9690.0,2034.9,11724.9,True
FAC-0024,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-02-26,Retainer February 2023 - InduSteel Components SA,ingreso,11880.0,2494.8,14374.8,True
FAC-0025,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-02-26,Retainer February 2023 - AppDigital Labs,ingreso,5700.0,1197.0,6897.0,True
FAC-0026,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-02-27,Retainer February 2023 - Nexus Software Group,ingreso,9020.0,1894.2,10914.2,True
FAC-0027,,,,,2023-03-04,Nominas,gasto_fijo,183900.0,0.0,183900.0,True
FAC-0028,CLI-071,Inteligencia Artificial Corp,Tecnologia,Mision Comercial,2023-03-05,Mision Comercial - Inteligencia Artificial Corp - Factura 1/1,ingreso,25200.0,5292.0,30492.0,True
FAC-0029,CLI-052,Calzados Deportivos SL,Bienes de Consumo,Plan de Promocion Internacional,2023-03-08,Plan de Promocion Internacional - Calzados Deportivos SL - Factura 1/5,ingreso,10960.0,2301.6,13261.6,True
FAC-0030,,,,,2023-03-11,Alquiler stands ferias,gasto_variable,12270.0,2576.7,14846.7,True
FAC-0031,CLI-041,NexaTech Devices SL,Tecnologia,Plan de Promocion Internacional,2023-03-13,Plan de Promocion Internacional - NexaTech Devices SL - Factura 1/3,ingreso,4980.0,1045.8,6025.8,True
FAC-0032,,,,,2023-03-16,Suministros,gasto_fijo,920.0,193.2,1113.2,True
FAC-0033,,,,,2023-03-17,Servicios profesionales,gasto_fijo,3020.0,634.2,3654.2,True
FAC-0034,,,,,2023-03-19,Alquiler stands ferias,gasto_variable,6050.0,1270.5,7320.5,True
FAC-0035,,,,,2023-03-22,Alquiler oficina,gasto_fijo,6010.0,1262.1,7272.1,True
FAC-0036,,,,,2023-03-22,Software y SaaS,gasto_fijo,5540.0,1163.4,6703.4,True
FAC-0037,,,,,2023-03-22,Material de oficina,gasto_fijo,790.0,165.9,955.9,True
FAC-0038,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-03-25,Retainer March 2023 - Nexus Software Group,ingreso,10450.0,2194.5,12644.5,True
FAC-0039,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-03-25,Retainer March 2023 - Olivares del Mediterraneo,ingreso,7150.0,1501.5,8651.5,True
FAC-0040,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-03-25,Retainer March 2023 - DataSmart Systems SA,ingreso,11220.0,2356.2,13576.2,True
FAC-0041,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-03-26,Retainer March 2023 - InduSteel Components SA,ingreso,13750.0,2887.5,16637.5,True
FAC-0042,CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,2023-03-26,Retainer March 2023 - Embotellados del Norte SL,ingreso,8250.0,1732.5,9982.5,True
FAC-0043,,,,,2023-03-26,Seguros,gasto_fijo,1540.0,323.4,1863.4,True
FAC-0044,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-03-27,Retainer March 2023 - AppDigital Labs,ingreso,6600.0,1386.0,7986.0,True
FAC-0045,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-03-27,Retainer March 2023 - CyberSecure Consulting,ingreso,12100.0,2541.0,14641.0,True
FAC-0046,CLI-052,Calzados Deportivos SL,Bienes de Consumo,Plan de Promocion Internacional,2023-04-01,Plan de Promocion Internacional - Calzados Deportivos SL - Factura 2/5,ingreso,8360.0,1755.6,10115.6,True
FAC-0047,,,,,2023-04-02,Nominas,gasto_fijo,188840.0,0.0,188840.0,True
FAC-0048,,,,,2023-04-08,Marketing y publicidad,gasto_variable,11700.0,2457.0,14157.0,True
FAC-0049,,,,,2023-04-10,Servicios profesionales,gasto_fijo,2620.0,550.2,3170.2,True
FAC-0050,,,,,2023-04-13,Suministros,gasto_fijo,840.0,176.4,1016.4,True
FAC-0051,,,,,2023-04-13,Alquiler oficina,gasto_fijo,5670.0,1190.7,6860.7,True
FAC-0052,,,,,2023-04-15,Pago Fraccionado IS,gasto_trimestral,8660.0,0.0,8660.0,True
FAC-0053,,,,,2023-04-21,IVA Trimestral,gasto_trimestral,39860.0,0.0,39860.0,True
