fecha,anio,mes,mes_nombre,ipc_interanual_pct,euribor_12m_pct,factor_estacional
2023-01-01,2023,1,January,5.8,3.35,1.1
2023-02-01,2023,2,February,6.0,3.55,0.95
2023-03-01,2023,3,March,5.5,3.7,1.15
2023-04-01,2023,4,April,4.8,3.85,1.2
2023-05-01,2023,5,May,4.2,3.9,1.05
2023-06-01,2023,6,June,3.8,4.0,1.0
2023-07-01,2023,7,July,3.5,4.05,0.9
2023-08-01,2023,8,August,3.6,4.1,0.5
2023-09-01,2023,9,September,3.8,4.15,1.15
2023-10-01,2023,10,October,3.5,4.05,1.2
2023-11-01,2023,11,November,3.2,4.0,1.0
2023-12-01,2023,12,December,3.0,3.85,0.7
2024-01-01,2024,1,January,3.4,3.7,1.1
2024-02-01,2024,2,February,3.6,3.65,0.95
2024-03-01,2024,3,March,3.3,3.75,1.15
2024-04-01,2024,4,April,3.0,3.8,1.2
2024-05-01,2024,5,May,3.2,3.7,1.05
2024-06-01,2024,6,June,3.5,3.6,1.0
2024-07-01,2024,7,July,3.0,3.55,0.9
2024-08-01,2024,8,August,2.8,3.5,0.5
2024-09-01,2024,9,September,2.6,3.45,1.15
2024-10-01,2024,10,October,2.8,3.3,1.2
2024-11-01,2024,11,November,2.7,3.15,1.0
2024-12-01,2024,12,December,2.9,2.95,0.7
2025-01-01,2025,1,January,2.9,2.85,1.1
2025-02-01,2025,2,February,2.7,2.75,0.95
2025-03-01,2025,3,March,2.5,2.7,1.15
2025-04-01,2025,4,April,2.6,2.65,1.2
2025-05-01,2025,5,May,2.8,2.6,1.05
2025-06-01,2025,6,June,2.5,2.55,1.0
2025-07-01,2025,7,July,2.3,2.5,0.9
2025-08-01,2025,8,August,2.4,2.55,0.5
2025-09-01,2025,9,September,2.5,2.6,1.15
2025-10-01,2025,10,October,2.6,2.55,1.2
2025-11-01,2025,11,November,2.5,2.5,1.0
2025-12-01,2025,12,December,2.4,2.45,0.7
2026-01-01,2026,1,January,2.5,2.4,1.1
2026-02-01,2026,2,February,2.6,2.35,0.95
2026-03-01,2026,3,March,2.4,2.3,1.15
2026-04-01,2026,4,April,2.3,2.25,1.2
